fold,slice_file_name,class_name
4.폭력범죄,4.폭력범죄_532846_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_276345_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_283907_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_284599_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_532997_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_573737_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_2027_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_281643_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_916_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_540_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_291927_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_532882_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_289947_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_283525_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_290991_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_3240_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_771_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_291855_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_532922_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_275978_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_843217_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_844455_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_925869_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_843210_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845762_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_866899_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_843121_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_844247_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_519185_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_3442_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_290780_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_533302_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_286734_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_518911_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_841028_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_841206_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_841231_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_841391_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_841557_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_841580_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_532841_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_842820_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_842828_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_842897_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_842903_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_532974_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_843477_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_533042_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_653_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_739_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_843785_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_1805_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_844028_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_292237_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_292097_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_285916_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_282453_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_289180_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_274354_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_279188_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_844863_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845146_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845553_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845581_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845611_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845700_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845715_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_573640_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845799_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_845814_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_276917_label.wav,폭력범죄
4.폭력범죄,4.폭력범죄_277317_label.wav,폭력범죄
